name,category,ratring_score,rating_count,feature,addr
전주 신시가지 호텔모아,모텔,4.9,552,신시가지 중심지 먹자골목,전북특별자치도 전주시 완산구 홍산북로 80
전주 금암동 투헤븐,모텔,4.8,541,전주 금암동 터미널부근,전북특별자치도 전주시 덕진구 용산2길 7 (투헤븐호텔)
전주 신시가지 호텔 아지트,모텔,4.8,682,도청 앞 신시가지 중심지 (위치보기),전북특별자치도 전주시 완산구 홍산북로 46-11 (호텔아지트 신시가지점)
전주 우아동 FX,모텔,4.4,681,전주시 우아동2가 위치,전북특별자치도 전주시 덕진구 아중4길 14-10 (FX모텔)
전주 금암동 가온텔,모텔,4.2,14,전주시 덕진구 금암동,전북특별자치도 전주시 덕진구 용산1길 6 (가온텔)
전주 중화산동 MH HOTEL 중화산점,모텔,5.0,345,"도보 5분 내 편의점,식당가 위치",전북특별자치도 전주시 완산구 어은로 12-6
전주 신시가지 호텔 메세지,모텔,4.5,801,신시가지 내 위치 (눌러서 위치보기),전북특별자치도 전주시 완산구 홍산북로 72
전주 산정동 제이브라운 호텔,모텔,4.8,181,#Grand Open제이브라운✔️위치보기,전북특별자치도 전주시 덕진구 산정1길 26
전주 산정동 바른 숙박 (BARUN STAY),모텔,4.6,437,한옥마을10분/전주역5분/버스터미널15분,전북특별자치도 전주시 덕진구 산정1길 32 (바른숙박)
전주 덕진동 H Avenue 전주덕진점(신관),모텔,4.9,75,"버스터미널(2분), 덕진공원(1분)",전북특별자치도 전주시 덕진구 덕진연못3길 9-1
전주 경원동 경원,모텔,4.7,543,전주 한옥마을까지 도보 2-3분거리,전북특별자치도 전주시 완산구 경기전길 8-5 (경원장여관)
전주 호텔토랑,호텔,4.7,82,#한옥마을 10분 | 전주역 2분,전라북도 전주시 덕진구 산정2길 23
전주 산정동 테라,모텔,4.6,236,한옥마을 10분 전주역 2분 터미널 7분,전북특별자치도 전주시 덕진구 산정3길 26
전주 한옥호텔 궁,전통호텔,3.9,506,전주한옥마을 도보 5분,전라북도 전주시 완산구 풍남문4길 25-19
전주 더클래식 바이 호텔원,호텔,4.5,157,완주 전주혁신도시 법조타운 인근,전라북도 완주군 이서면 오공로 21-19
아늑료칸호텔 전주점,호텔,4.8,4,전주 터미널 도보 3분,전북특별자치도 전주시 덕진구 용산2길 17 (티파니모텔)
전주 중화산동 브라이튼 호텔(BRIGHTEN HOTEL),모텔,4.8,337,막걸리거리8분 한옥마을10분,전북특별자치도 전주시 완산구 한두평2길 8-3 (수호천사)
전주 우아동 임페리얼,모텔,4.5,104,"전주역도보 5분, 전북대 병원 인근",전북특별자치도 전주시 덕진구 도당산3길 8-1 (임페리얼모텔)
전주 스페이스셔틀,펜션,5.0,6,완주군 상관면,전북특별자치도 완주군 상관면 죽림편백길 118-38
전주 금암동 호텔 K,모텔,5.0,295,버스터미널 2분 거리,전북특별자치도 전주시 덕진구 용산2길 5 (호텔케이)
전주 호텔 라임,호텔,4.9,52,"전주 한옥 마을 10분, 전주역 2분",전라북도 전주시 덕진구 아중4길 13-3
전주 중화산동 Q,모텔,4.5,"1,630",완산구청 부근,전북특별자치도 전주시 완산구 한두평1길 12 (Q모텔)
전주 신시가지 호텔 아이,모텔,4.5,371,전라북도청 도보 8분(위치보기),전북특별자치도 전주시 완산구 홍산북로 84
전주 중화산동 엘림호텔,모텔,4.8,719,중화산동 인근(위치보기),전북특별자치도 전주시 완산구 한두평3길 7-4
전주 우아동 호텔 자우리,모텔,4.2,403,전주한옥마을 9분 거리(위치보기),전북특별자치도 전주시 덕진구 아중4길 13-4
전주 중화산동 루이,모텔,4.5,610,전주 한옥마을 차량 10분거리,전북특별자치도 전주시 완산구 한두평2길 10
호텔 투썸스테이 전주 서신점,호텔,4.6,49,롯데백화점 전주점 도보로 3분 거리,전라북도 전주시 완산구 여울로 31
베니키아 전주 한성 호텔,호텔,4.3,95,전주한옥마을 1km,전라북도 전주시 완산구 전주객사5길 43-3
호텔어라이브 전주 시화연풍,호텔,5.0,39,전주한옥마을 도보 15분 거리,전라북도 전주시 완산구 풍남문3길 9-5
전주 꽃자리펜션,펜션,4.9,45,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 최명희길 26-23
전주 풍남가족호텔(구.풍남관광호텔),2성급 호텔,4.6,17,전주 한옥마을 차량 8분,전북특별자치도 전주시 완산구 전주객사2길 45-7 (풍남관광호텔)
전주 전주한옥온유,펜션,4.9,23,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 한지길 107 (물빛)
전주 정가한옥 & 더정가 스테이,게스트하우스,4.9,178,전주 한옥마을 내 위치,전북특별자치도 전주시 완산구 기린대로 78-3
전주 신시가지 데이나이스,모텔,4.6,597,전주 효자동 인근,전북특별자치도 전주시 완산구 홍산북로 46
전주 우아동 래미안,모텔,4.3,532,"한옥마을10분,전주역2분,버스터미널7분",전북특별자치도 전주시 덕진구 아중4길 6-1 (래미안모텔)
완주 혁신도시 만상 호텔(MANSANG HOTEL),모텔,4.7,759,완주혁신도시터미널 차량 3분(위치보기),전북특별자치도 완주군 이서면 오공로 21-11
전주 하운드호텔 덕진점,호텔,5.0,18,전주고속버스터미널 차량 5분,전북특별자치도 전주시 덕진구 기린대로 532-6
전주 신시가지 호텔 U,모텔,4.6,195,효자동 신시가지 내 위치,전북특별자치도 전주시 완산구 홍산북로 84-12
전주 산정동 써밋스테이 호텔,모텔,4.6,250,한옥마을 10분 거리,전북특별자치도 전주시 덕진구 산정3길 2
전주 우아동 어제처럼,모텔,4.7,58,전주시 덕진구 우아1동,전북특별자치도 전주시 덕진구 도당산4길 10 (어제처럼모텔)
전주 중화산동 YAJA 중화산점,모텔,4.6,452,완산구청 5분 이내(위치보기),전북특별자치도 전주시 완산구 한두평3길 5
전주 한옥고택고을,펜션,5.0,31,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 최명희길 26-7
전주 한옥고택고을,펜션,5.0,31,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 최명희길 26-7
전주 가인,모텔,3.4,20,전주시 덕진구 우아1동,전북특별자치도 전주시 덕진구 우아1길 19
전주 중화산동 프린스,모텔,4.6,208,한두평공원 2분거리,전북특별자치도 전주시 완산구 한두평1길 9 (프린스모텔)
전주 중화산동 카마호텔,모텔,4.7,547,한옥마을 10분 막걸리거리 8분,전북특별자치도 전주시 완산구 한두평2길 8-9 (카마호텔)
전주 우아동 호텔 어반스테이 아중점,모텔,4.9,204,전주 출장/여행 추천 신축호텔,전북특별자치도 전주시 덕진구 정언신로 170
호텔 다빈,호텔,4.6,876,전주시 완산구 풍남동,전라북도 전주시 완산구 팔달로 160
전주 스마일호텔,호텔,5.0,61,(신축)덕진공원 도보1분거리,전라북도 전주시 덕진구 송천중앙로 12-12
전주 중앙동 한옥호텔 궁,모텔,4.7,493,한옥마을 5분 거리 눌러서 위치 확인하기,전북 전주시 완산구 풍남문4길 25-19 (중앙동4가)
전주 영하우스,펜션,4.9,14,전주시 완산구 노송동,전북특별자치도 전주시 완산구 팔달로 292-4 
전주 마리호텔 덕진공원점,호텔,4.3,251,전주덕진공원 바로 앞,전라북도 전주시 덕진구 덕진연못3길 9-5
전주 중화산동 알프스,모텔,3.9,386,전주 완산구 중화산동2가 위치,전북특별자치도 전주시 완산구 한두평1길 13-5 (알프스모텔)
전주 산정동 료칸호텔-엣지,모텔,4.9,30,"전주역 3분, 한옥마을 10분",전북특별자치도 전주시 덕진구 산정2길 28-5
전주 우아동 프린스,모텔,3.9,582,한옥마을(10분) 전주역(2분),전북특별자치도 전주시 덕진구 동부대로 441 (프린스모텔)
전주 진북동 장미,모텔,4.5,149,전주한옥마을 차량 3분,전북특별자치도 전주시 덕진구 안덕원로 106-10
전주 전주이야기펜션,펜션,5.0,18,전주시 완산구 동서학동,전북특별자치도 전주시 완산구 동부대로 82-2
전주 우아동 HOTEL SOL(솔),모텔,4.3,102,한옥마을 차량7분/ 전주역 차량6분,전북특별자치도 전주시 덕진구 아중2길 22-4
완주 호텔 아리아(HOTEL ARIA),모텔,4.6,541,◀ 눌러서 위치 확인하기,전북특별자치도 완주군 삼례읍 동학로 36-10 (아리아모텔)
전주 메이드호텔,호텔,5.0,6,전주역 차량 7분 거리,전라북도 전주시 덕진구 산정2길 12-8
전주 MH HOTEL 객리단길점,호텔,4.8,90,차이나거리(걷고싶은거리) 도보 2분,전라북도 전주시 완산구 전주천동로 232(다가동3가)
전주 중화산동 호텔 더 케이,모텔,4.3,797,완산구청 근처,전북특별자치도 전주시 완산구 한두평1길 10
전주 금암동 비스트,모텔,3.7,"2,863","버스터미널 1분,전주역,한옥마을 10분",전북특별자치도 전주시 덕진구 용산3길 12
전주 온고을 한옥스테이,게스트하우스,4.7,179,전주한옥마을 내 위치,전북특별자치도 전주시 완산구 향교길 51-10
전주 금암동 스카이쇼1 무인텔,모텔,4.0,440,"터미널(1분),전주역,한옥마을(10분)",전북특별자치도 전주시 덕진구 용산2길 11 (스카이쇼무인텔)
전주 서선야 한옥스테이,게스트하우스,5.0,63,한옥마을 제 1주차장에서 3분 거리,전북특별자치도 전주시 완산구 동문길 19-6
전주 산정동 호텔 카누(HOTEL KANU),모텔,4.8,598,"한옥마을(10분), 전주역(2분)(클릭)",전북특별자치도 전주시 덕진구 산정2길 12-7
