accommodation_id,name,positive_count,negative_count,positive_percent,negative_percent,sentiment_score
1210,전주 전주한옥온유,30,1,96.8%,3.2%,0.968
1211,전주 신시가지 데이나이스,354,63,84.9%,15.1%,0.849
1212,전주 우아동 래미안,176,30,85.4%,14.6%,0.854
1213,전주 신시가지 호텔 U,347,49,87.6%,12.4%,0.876
1214,전주 산정동 써밋스테이 호텔,534,9,98.3%,1.7%,0.983
1215,전주 우아동 어제처럼,39,6,86.7%,13.3%,0.867
1216,전주 중화산동 YAJA 중화산점,228,60,79.2%,20.8%,0.792
1217,전주 한옥고택고을,199,4,98.0%,2.0%,0.98
1218,전주 가인,5,4,55.6%,44.4%,0.556
1219,전주 중화산동 프린스,544,46,92.2%,7.8%,0.922
1220,전주 우아동 호텔 어반스테이 아중점,478,10,98.0%,2.0%,0.98
1221,전주 영하우스,53,1,98.1%,1.9%,0.981
1222,전주 중화산동 알프스,506,124,80.3%,19.7%,0.803
1223,전주 엣지호텔,15,2,88.2%,11.8%,0.882
1224,전주 우아동 프린스,522,91,85.2%,14.8%,0.852
1225,전주 진북동 장미,79,2,97.5%,2.5%,0.975
1226,전주 전주이야기펜션,17,0,100.0%,0.0%,1.0
1227,전주 MH HOTEL 객리단길점,443,43,91.2%,8.8%,0.912
1228,전주 중화산동 호텔 더 케이,550,67,89.1%,10.9%,0.891
1229,전주 금암동 비스트,938,367,71.9%,28.1%,0.719
1230,전주 온고을 한옥스테이,140,7,95.2%,4.8%,0.952
1231,전주 금암동 스카이쇼1 무인텔,3,0,100.0%,0.0%,1.0
1232,전주 서선야 한옥스테이,127,0,100.0%,0.0%,1.0
1233,카누 호텔,1452,107,93.1%,6.9%,0.931
1234,전주 대명여관 게스트하우스,6,1,85.7%,14.3%,0.857
1235,전주 우아동 맨하탄,23,2,92.0%,8.0%,0.92
1236,전주 진북동 경동,119,7,94.4%,5.6%,0.944
1237,전주 한옥마을덕수궁펜션,320,15,95.5%,4.5%,0.955
1238,전주 한옥마당 스테이,34,4,89.5%,10.5%,0.895
1239,전주 그리운집 한옥스테이,96,7,93.2%,6.8%,0.932
1240,전주 아침스테이,42,1,97.7%,2.3%,0.977
1241,전주 블루보트 게스트하우스,119,12,90.8%,9.2%,0.908
1242,전주 꽃무릇펜션,30,7,81.1%,18.9%,0.811
1243,전주 신시가지 스테이호텔,3,0,100.0%,0.0%,1.0
1244,전주 오페라 21,277,47,85.5%,14.5%,0.855
1245,전주 신시가지 호텔 폭스-FOX 2.0,374,30,92.6%,7.4%,0.926
1246,전주 산정동 호텔 샾(Hotel Sharp),468,22,95.5%,4.5%,0.955
1247,전주 교동가온펜션,1,0,100.0%,0.0%,1.0
1248,전주 우아동 쉐르빌,139,43,76.4%,23.6%,0.764
1249,전주 뜰안채 한옥스테이,54,9,85.7%,14.3%,0.857
1250,전주 별빛궁한옥펜션,447,2,99.6%,0.4%,0.996
1251,전주 향교길선우가펜션,22,0,100.0%,0.0%,1.0
1252,전주 중화산동 호텔사운즈,400,38,91.3%,8.7%,0.913
1253,전주 별둘 자쿠지 독채 펜션,13,0,100.0%,0.0%,1.0
1254,전주 한옥마을돼지꿈한옥펜션,8,0,100.0%,0.0%,1.0
1255,전주 교동살래 한옥스테이,177,7,96.2%,3.8%,0.962
1256,전주 한옥마을하늘애한옥펜션,7,0,100.0%,0.0%,1.0
1257,전주 인디고펜션,225,1,99.6%,0.4%,0.996
1259,전주 안녕제제 게스트하우스,36,5,87.8%,12.2%,0.878
1260,전주 한옥마을 한옥숙박예쁘다펜션,3,0,100.0%,0.0%,1.0
1261,전주 한옥고희,11,1,91.7%,8.3%,0.917
1262,전주 엑스오 XO 호텔,217,61,78.1%,21.9%,0.781
1263,전주 서노송동 코아,112,14,88.9%,11.1%,0.889
1264,전주 동산동 편백,40,26,60.6%,39.4%,0.606
1265,전주 24게스트하우스펜션,288,6,98.0%,2.0%,0.98
1266,전주 금암동 타임,172,39,81.5%,18.5%,0.815
1267,전주 더정가스테이,46,2,95.8%,4.2%,0.958
1268,전주 천년의아침 한옥스테이,11,1,91.7%,8.3%,0.917
1269,전주 우아동 인터네셔널 호스텔,85,3,96.6%,3.4%,0.966
1270,전주 천동로선우가,5,0,100.0%,0.0%,1.0
1271,전주 진북동 하얀,1,0,100.0%,0.0%,1.0
1272,전주 다정한옥펜션,27,1,96.4%,3.6%,0.964
1273,전주 예술인의집마담초이펜션,1,0,100.0%,0.0%,1.0
1274,전주 제니홈 전주게스트하우스펜션,0,0,None%,None%,
1275,전주 이오당펜션,5,1,83.3%,16.7%,0.833
1276,전주 중노송동 파인,45,2,95.7%,4.3%,0.957
1277,전주 한옥마을 건축문화상 수상한 이가한옥 펜션,140,17,89.2%,10.8%,0.892
1278,전주 어울림 한옥스테이,166,3,98.2%,1.8%,0.982
1279,전주 덕진동 타미,149,29,83.7%,16.3%,0.837
1280,전주 사랑루 한옥스테이,36,0,100.0%,0.0%,1.0
1281,전주 동락원 한옥스테이,0,1,0.0%,100.0%,0.0
1282,전주 들꽃사랑채펜션,5,0,100.0%,0.0%,1.0
1283,전주 고사동 씨네마,73,29,71.6%,28.4%,0.716
