name,category,rating_score,rating_count,address
전주 워너비,모텔,9.1,1016,전북특별자치도 전주시 덕진구 덕진동2가 200-2
칼튼힐 호텔 전주,호텔비즈니스,9.1,31,전북특별자치도 전주시 덕진구 금암동 461-15
전주 정가 한옥,게하 · 한옥,9.7,148,전북특별자치도 전주시 완산구 풍남동3가 9-9
253평 예쁘고 넓은 마음엔뜰 독채 숙소 전주 마음엔뜰,홈&빌라,10.0,8,전북특별자치도 전주시 완산구 중인동 1005-1
전주한옥마을 도화서가 스테이 독채펜션,펜션,9.9,6,전북특별자치도 전주시 완산구 경원동2가 38-3
전주 뷰티,모텔,9.2,593,전북특별자치도 전주시 덕진구 금암동 474-1
24게스트하우스 전주점,게하 · 한옥,9.7,207,전라북도 전주시 완산구 중노송동 498-17 전주시 완산구 중노송동 498-7
전주 재즈어라운드호텔,모텔,9.7,98,전북특별자치도 전주시 덕진구 우아동2가 921-7
전주 한옥마을 소리풍경,게하 · 한옥,9.4,68,전라북도 전주시 완산구 풍남동3가 58-1
전주 기린 게스트하우스,게하 · 한옥,9.3,165,전라북도 전주시 완산구 중노송동 551-18
전주 블루원,모텔,9.2,726,전북특별자치도 전주시 덕진구 금암동 699-4
전주 한옥마을 산아래,게하 · 한옥,9.7,210,전북특별자치도 전주시 완산구 교동 60-5
전주한옥마을 아침스테이,펜션,9.8,31,전북특별자치도 전주시 완산구 전동 22
넘버25호텔 전주산정점,호텔비즈니스,9.7,51,전북특별자치도 전주시 덕진구 산정동 875-13
아늑료칸호텔 전주점,호텔관광,9.8,3,전북특별자치도 전주시 덕진구 금암동 701-4
투썸스테이 서신점,호텔비즈니스,9.3,33,전북특별자치도 전주시 완산구 서신동 966-3
전주 포레스트그릴 글램핑,캠핑 · 글램핑,9.6,5,전북특별자치도 전주시 완산구 서서학동 972-5
전주 브라운도트 아중지구점,호텔비즈니스,9.5,80,전북특별자치도 전주시 덕진구 우아동2가 919-13
전주 한옥체험 모꼬지,게하 · 한옥,9.8,277,전라북도 전주시 완산구 교동 163
전주 엠파이어,모텔,9.1,228,전북특별자치도전주시 완산구 중화산동2가 664-4
전주 1박2일,모텔,8.9,354,전북특별자치도 전주시 덕진구 우아동3가 752-28
전주 알프스,모텔,8.6,638,전북특별자치도전주시 완산구 중화산동2가 664-3
전주 마리호텔 터미널점,호텔비즈니스,9.1,185,전북특별자치도전주시 덕진구 금암동 697-4
전주 한옥마을 그리운 집,게하 · 한옥,9.7,62,전북특별자치도전주시 완산구 교동 291
전주 황실관광호텔,호텔1성급,8.8,311,전북특별자치도전주시 완산구 풍남동1가 56-1
전주 한옥마을 별자리,게하 · 한옥,9.9,179,전라북도 전주시 완산구 풍남동3가 81-3
전주 한옥 독채 꽃마르트,홈&빌라,9.9,15,전북특별자치도전주시 완산구 동완산동 323-2
전주 이가 한옥 본관,게하 · 한옥,9.4,167,전라북도 전주시 완산구 풍남동3가 7-13
전주 한옥마을 한옥솔솔,게하 · 한옥,9.8,127,전라북도 전주시 완산구 풍남동3가 67-1
전주 투나잇2NIGHT,모텔,9.7,662,전북특별자치도 전주시 덕진구 우아동2가 923-4
전주 샵 호텔SHARP HOTEL,모텔,9.7,665,전북특별자치도 전주시 덕진구 산정동 868-1
전주 마리호텔,모텔,9.8,188,전북특별자치도 전주시 덕진구 우아동2가 919-11
호텔어라이브 전주 시화연풍,호텔비즈니스,9.3,26,전북특별자치도 전주시 완산구 전동 166-3
전주 호텔K,모텔,9.5,142,전북특별자치도 전주시 덕진구 금암동 473-5
전주 한옥마을 알콩달콩 다락방,게하 · 한옥,9.9,220,전라북도 전주시 완산구 교동 98-5
전주 그리고봄 독채펜션,펜션,9.9,7,전북특별자치도 전주시 완산구 교동 63-4
전주 대화사우나,모텔,9.8,546,전북특별자치도전주시 덕진구 진북동 322-65
전주 한옥마을 꽃자리,게하 · 한옥,9.9,60,전북특별자치도 전주시 완산구 풍남동3가 81-11
전주 한옥마을 교동가온,게하 · 한옥,9.8,50,전라북도 전주시 완산구 교동 61-4
전주 안녕 제제 옥상달빛,홈&빌라,9.8,14,전북특별자치도전주시 완산구 경원동2가 40-5
전주 해밀 펜션,펜션,9.5,25,전북특별자치도 전주시 완산구 전동 208-5
전주한옥마을 메종 14,게하 · 한옥,10.0,35,전라북도 전주시 완산구 교동 222-14
전주 안녕 제제 아침고요,홈&빌라,10.0,7,전북특별자치도전주시 완산구 경원동2가 40-5
