name,category,rating_score,rating_count,feature,addr,source,image,lat,lng
전주 호텔모아,모텔/호텔,4.9,552,신시가지 중심지 먹자골목,전북특별자치도 전주시 완산구 홍산북로 80,n,전주 호텔모아.jpg,35.8172913,127.1104681
전주 금암동 투헤븐,모텔/호텔,4.8,541,전주 금암동 터미널부근,전북특별자치도 전주시 덕진구 용산2길 7,n,전주 금암동 투헤븐.jpg,35.8363172,127.1314037
전주 신시가지 호텔 아지트,모텔/호텔,4.8,682,도청 앞 신시가지 중심지 위치보기,전북특별자치도 전주시 완산구 홍산북로 46-11,n,전주 신시가지 호텔 아지트.jpg,35.8170692,127.1075208
전주 우아동 FX,모텔/호텔,4.4,681,전주시 우아동2가 위치,전북특별자치도 전주시 덕진구 아중4길 14-10,n,전주 우아동 FX.jpg,35.831124,127.173482
전주 금암동 가온텔,모텔/호텔,4.2,14,전주시 덕진구 금암동,전북특별자치도 전주시 덕진구 용산1길 6,n,전주 금암동 가온텔.jpg,35.8356269,127.1300321
전주 MH HOTEL 중화산동점,모텔/호텔,5.0,345,도보 5분 내 편의점식당가 위치,전북특별자치도 전주시 완산구 어은로 12-6,n,전주 MH HOTEL 중화산동점.jpg,35.8161297,127.1241559
전주 신시가지 호텔 메세지,모텔/호텔,4.5,801,신시가지 내 위치 눌러서 위치보기,전북특별자치도 전주시 완산구 홍산북로 72,n,전주 신시가지 호텔 메세지.jpg,35.8172909,127.1097811
전주 제이브라운,모텔/호텔,4.8,181,제이브라운위치보기,전북특별자치도 전주시 덕진구 산정1길 26,n,전주 제이브라운.jpg,35.8383508,127.1681069
전주 산정동 바른 숙박 (BARUN STAY),모텔/호텔,4.6,437,한옥마을10분전주역5분버스터미널15분,전북특별자치도 전주시 덕진구 산정1길 32,n,전주 산정동 바른 숙박 (BARUN STAY).jpg,35.8386778,127.1677518
전주 에이치에비뉴 덕진점,모텔/호텔,4.9,75,버스터미널2분 덕진공원1분,전북특별자치도 전주시 덕진구 덕진연못3길 9-1,n,전주 에이치에비뉴 덕진점.jpg,35.8469677,127.120392
전주 경원동 경원,모텔/호텔,4.7,543,전주 한옥마을까지 도보 23분거리,전북특별자치도 전주시 완산구 경기전길 8-5,n,전주 경원동 경원.jpg,35.8190375,127.149588
전주 호텔토랑,모텔/호텔,4.7,82,한옥마을 10분 전주역 2분,전북특별자치도 전주시 덕진구 산정2길 23,n,전주 호텔토랑.jpg,35.8382319,127.168271
전주 테라호텔,모텔/호텔,4.6,236,한옥마을 10분 전주역 2분 터미널 7분,전북특별자치도 전주시 덕진구 산정3길 26,n,전주 테라호텔.jpg,35.8388356,127.1696204
전주 한옥호텔 궁,모텔/호텔,3.9,506,전주한옥마을 도보 5분,전북특별자치도 전주시 완산구 풍남문4길 25-19,n,전주 한옥호텔 궁.jpg,35.8143555,127.1445708
전주 우아동 임페리얼,모텔/호텔,4.5,104,전주역도보 5분 전북대 병원 인근,전북특별자치도 전주시 덕진구 도당산3길 8-1,n,전주 우아동 임페리얼.jpg,35.846849,127.1559496
전주 금암동 호텔 K,모텔/호텔,5.0,295,버스터미널 2분 거리,전북특별자치도 전주시 덕진구 용산2길 5,n,전주 금암동 호텔 K.jpg,35.8364297,127.1311019
전주 호텔 라임,모텔/호텔,4.9,52,전주 한옥 마을 10분 전주역 2분,전북특별자치도 전주시 덕진구 아중4길 13-3,n,전주 호텔 라임.jpg,35.8301567,127.1739884
전주 중화산동 Q,모텔/호텔,4.5,1630,완산구청 부근,전북특별자치도 전주시 완산구 한두평1길 12,n,전주 중화산동 Q.jpg,35.8123141,127.1242604
전주 호텔아이,모텔/호텔,4.5,371,전북특별자치도청 도보 8분위치보기,전북특별자치도 전주시 완산구 홍산북로 84,n,전주 호텔아이.jpg,35.8172911,127.1106728
전주 엘림호텔,모텔/호텔,4.8,719,중화산동 인근위치보기,전북특별자치도 전주시 완산구 한두평3길 7-4,n,전주 엘림호텔.jpg,35.8150237,127.1239292
전주 자우리,모텔/호텔,4.2,403,전주한옥마을 9분 거리위치보기,전북특별자치도 전주시 덕진구 아중4길 13-4,n,전주 자우리.jpg,35.8301169,127.1736796
